Spectrum,Nutrient,Concentration,Intensity,File
1046.1624,Solution-Glutamine,0.02,15.4854978588,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1048.146,Solution-Glutamine,0.02,-0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1050.129,Solution-Glutamine,0.02,26.6345947659,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1052.1112,Solution-Glutamine,0.02,6.4240852597,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1054.0928,Solution-Glutamine,0.02,16.4146436990,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1056.0736,Solution-Glutamine,0.02,17.8200588858,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1058.0537,Solution-Glutamine,0.02,-0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1060.0331,Solution-Glutamine,0.02,16.8333696060,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1062.0118,Solution-Glutamine,0.02,40.0481451606,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1063.9898,Solution-Glutamine,0.02,14.1611752127,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1065.9671,Solution-Glutamine,0.02,123.7841431697,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1067.9436,Solution-Glutamine,0.02,89.5106561474,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1069.9195,Solution-Glutamine,0.02,41.3815388452,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1071.8946,Solution-Glutamine,0.02,69.7823986745,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1073.869,Solution-Glutamine,0.02,76.5576106308,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1075.8427,Solution-Glutamine,0.02,32.9670607153,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1077.8157,Solution-Glutamine,0.02,29.4570272636,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1079.788,Solution-Glutamine,0.02,112.8127298674,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1081.7596,Solution-Glutamine,0.02,106.8931846470,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1083.7304,Solution-Glutamine,0.02,94.0459384553,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1085.7006,Solution-Glutamine,0.02,84.3161486543,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1087.67,Solution-Glutamine,0.02,76.5248521472,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1089.6387,Solution-Glutamine,0.02,15.4878912018,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1091.6067,Solution-Glutamine,0.02,6.7494026408,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1093.574,Solution-Glutamine,0.02,0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1095.5406,Solution-Glutamine,0.02,35.1458783770,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1097.5064,Solution-Glutamine,0.02,0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1099.4716,Solution-Glutamine,0.02,47.0029413868,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1101.436,Solution-Glutamine,0.02,68.4200056420,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1103.3997,Solution-Glutamine,0.02,59.8569697752,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1105.3627,Solution-Glutamine,0.02,93.6150724419,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1107.3249,Solution-Glutamine,0.02,47.2491343231,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1109.2865,Solution-Glutamine,0.02,0,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1111.2473,Solution-Glutamine,0.02,62.4505436246,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1113.2075,Solution-Glutamine,0.02,90.7509001575,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1115.1669,Solution-Glutamine,0.02,63.4343446408,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1117.1256,Solution-Glutamine,0.02,28.8566147279,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1119.0835,Solution-Glutamine,0.02,79.7540225693,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1121.0408,Solution-Glutamine,0.02,127.3694257978,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1122.9973,Solution-Glutamine,0.02,162.9232393554,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1124.9531,Solution-Glutamine,0.02,158.7392259757,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1126.9082,Solution-Glutamine,0.02,82.9440483505,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1128.8626,Solution-Glutamine,0.02,141.5850993918,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1130.8163,Solution-Glutamine,0.02,81.5002166650,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1132.7692,Solution-Glutamine,0.02,88.5360463887,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1134.7214,Solution-Glutamine,0.02,13.4415170923,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1136.6729,Solution-Glutamine,0.02,60.0650832948,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1138.6237,Solution-Glutamine,0.02,-0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1140.5738,Solution-Glutamine,0.02,-0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1142.5231,Solution-Glutamine,0.02,0.0000000000,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1144.4717,Solution-Glutamine,0.02,44.7566861026,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1146.4196,Solution-Glutamine,0.02,1.5850179318,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1148.3668,Solution-Glutamine,0.02,82.8882098441,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1150.3132,Solution-Glutamine,0.02,115.5280209944,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1152.259,Solution-Glutamine,0.02,153.5120147464,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1154.204,Solution-Glutamine,0.02,204.1317152039,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1156.1483,Solution-Glutamine,0.02,250.7819783114,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1158.0919,Solution-Glutamine,0.02,310.7728332843,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1160.0347,Solution-Glutamine,0.02,319.8002595389,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1161.9768,Solution-Glutamine,0.02,297.2586387200,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1163.9182,Solution-Glutamine,0.02,339.0968107872,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1165.8589,Solution-Glutamine,0.02,255.8176898971,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1167.7989,Solution-Glutamine,0.02,301.0599737723,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1169.7381,Solution-Glutamine,0.02,278.8537843437,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1171.6766,Solution-Glutamine,0.02,313.6974823679,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1173.6144,Solution-Glutamine,0.02,206.1026019665,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1175.5514,Solution-Glutamine,0.02,258.0021362269,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1177.4878,Solution-Glutamine,0.02,135.0203292550,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1179.4234,Solution-Glutamine,0.02,123.9433587857,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1181.3583,Solution-Glutamine,0.02,146.2956211862,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1183.2924,Solution-Glutamine,0.02,131.5686164915,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1185.2259,Solution-Glutamine,0.02,84.1776872293,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1187.1586,Solution-Glutamine,0.02,109.4240076209,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1189.0906,Solution-Glutamine,0.02,117.9609050121,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1191.0218,Solution-Glutamine,0.02,157.6053234436,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1192.9524,Solution-Glutamine,0.02,193.9443855437,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1194.8822,Solution-Glutamine,0.02,130.8975985742,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1196.8113,Solution-Glutamine,0.02,102.0537831148,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1198.7396,Solution-Glutamine,0.02,157.1751713846,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1200.6673,Solution-Glutamine,0.02,198.1886486164,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1202.5942,Solution-Glutamine,0.02,119.3634407834,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1204.5203,Solution-Glutamine,0.02,138.1864879775,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1206.4458,Solution-Glutamine,0.02,80.0481431422,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1208.3705,Solution-Glutamine,0.02,73.3275143561,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1210.2945,Solution-Glutamine,0.02,66.8365911846,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1212.2178,Solution-Glutamine,0.02,75.7907652113,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
1214.1403,Solution-Glutamine,0.02,54.4746761271,COR-Glutamine-0.02-SCINUS-10sx10-450mW.txt
