Spectrum,Nutrient,Concentration,Intensity,File
1187.1586,D1-CNR-Sulfate,10.5,1.7219473350,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1189.0906,D1-CNR-Sulfate,10.5,-0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1191.0218,D1-CNR-Sulfate,10.5,12.5915369154,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1192.9524,D1-CNR-Sulfate,10.5,32.8188428559,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1194.8822,D1-CNR-Sulfate,10.5,-0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1196.8113,D1-CNR-Sulfate,10.5,60.0398101448,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1198.7396,D1-CNR-Sulfate,10.5,84.4539632447,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1200.6673,D1-CNR-Sulfate,10.5,117.4204256488,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1202.5942,D1-CNR-Sulfate,10.5,82.3106782731,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1204.5203,D1-CNR-Sulfate,10.5,103.9762894075,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1206.4458,D1-CNR-Sulfate,10.5,75.3857499266,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1208.3705,D1-CNR-Sulfate,10.5,61.9390894773,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1210.2945,D1-CNR-Sulfate,10.5,25.1163889642,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1212.2178,D1-CNR-Sulfate,10.5,33.4544334451,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1214.1403,D1-CNR-Sulfate,10.5,2.2588986293,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1216.0621,D1-CNR-Sulfate,10.5,17.7121752085,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1217.9832,D1-CNR-Sulfate,10.5,0.0000000000,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
1219.9036,D1-CNR-Sulfate,10.5,6.9323823665,COR-D1-CNR-Sulfate-10.5gL-10sx10-450mW.txt
