Spectrum,Nutrient,Concentration,Intensity,File
1124.9531,D1-CNR-Glucose,10.1,2001.2333437338,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1126.9082,D1-CNR-Glucose,10.1,1970.2733104388,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1128.8626,D1-CNR-Glucose,10.1,1893.2373203113,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1130.8163,D1-CNR-Glucose,10.1,1793.8652710831,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1132.7692,D1-CNR-Glucose,10.1,1677.2728849350,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1134.7214,D1-CNR-Glucose,10.1,1432.3226014240,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1136.6729,D1-CNR-Glucose,10.1,1305.8026068360,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1138.6237,D1-CNR-Glucose,10.1,1004.8097064138,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1140.5738,D1-CNR-Glucose,10.1,885.1160446239,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1142.5231,D1-CNR-Glucose,10.1,734.8934707885,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1144.4717,D1-CNR-Glucose,10.1,626.7711916258,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1146.4196,D1-CNR-Glucose,10.1,524.3872721386,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1148.3668,D1-CNR-Glucose,10.1,458.2528986183,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1150.3132,D1-CNR-Glucose,10.1,470.7759984185,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1152.259,D1-CNR-Glucose,10.1,423.6837708157,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1154.204,D1-CNR-Glucose,10.1,424.5854925314,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1156.1483,D1-CNR-Glucose,10.1,389.0507892856,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1158.0919,D1-CNR-Glucose,10.1,351.9341659136,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1160.0347,D1-CNR-Glucose,10.1,294.8151061007,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1161.9768,D1-CNR-Glucose,10.1,286.0226659320,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1163.9182,D1-CNR-Glucose,10.1,226.8036302401,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1165.8589,D1-CNR-Glucose,10.1,156.9859448762,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1167.7989,D1-CNR-Glucose,10.1,104.6164952182,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1169.7381,D1-CNR-Glucose,10.1,37.4771122655,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
1171.6766,D1-CNR-Glucose,10.1,0.0000000000,COR-D1-CNR-Glucose-10.1gL-10sx10-450mW.txt
